QueryId,DocumentId
int-1,A2-499
int-1,B1-944
int-1,A2-359
int-1,A2-399
int-1,B2-79
int-1,A1-1128
int-1,B2-26
int-1,B2-202
int-1,B2-226
int-1,A2-385
int-1,B2-95
int-1,B2-180
int-1,B2-6
int-1,B2-234
int-1,B1-921
int-1,B2-55
int-1,A2-374
int-1,A1-1276
int-1,A2-495
int-1,B2-164
int-1,C1-713
int-1,C2-1489
int-1,A2-379
int-1,A1-1159
int-1,C1-602
int-1,B2-173
int-1,A1-1202
int-1,B2-151
int-1,B2-176
int-1,C2-1425
int-1,B2-168
int-1,A2-308
int-1,B2-286
int-1,B2-178
int-1,A2-303
int-1,B2-124
int-1,A2-405
int-1,B2-194
int-1,B2-115
int-1,A2-400
int-1,C1-606
int-1,A1-1051
int-1,C1-559
int-1,A2-349
int-1,B1-817
int-1,A1-1102
int-1,A1-1268
int-1,B1-882
int-1,A1-1156
int-1,A1-1086
int-1,A1-1223
int-1,A1-1080
int-1,C1-731
int-1,A2-290
int-1,B2-155
int-1,B2-86
int-1,B1-951
int-1,B1-865
int-1,B2-14
int-1,A2-335
int-1,A1-1020
int-1,B2-121
int-1,B2-116
int-1,A1-1180
int-1,B1-803
int-1,A2-554
int-1,B1-820
int-1,A2-467
int-1,A2-398
int-1,A2-411
int-1,B1-827
int-1,A2-497
int-1,A2-479
int-1,B2-1
int-1,B2-56
int-1,A2-510
int-1,B2-145
int-1,A2-511
int-1,B1-805
int-1,A2-337
int-1,A1-1257
int-1,C1-696
int-1,A1-1192
int-1,B2-233
int-1,A2-332
int-1,B1-871
int-1,B2-274
int-1,A2-517
int-1,B1-988
int-1,B1-841
int-1,B2-23
int-1,A2-525
int-1,B1-909
int-1,A1-1291
int-1,A2-391
int-1,B1-928
int-1,A1-1182
int-1,C2-1295
int-1,A2-413
int-1,A1-1235
int-2,C1-650
int-2,C1-591
int-2,B1-886
int-2,B2-3
int-2,A2-352
int-2,A2-496
int-2,B2-106
int-2,B1-812
int-2,C1-729
int-2,B2-252
int-2,A2-474
int-2,C1-616
int-2,C1-568
int-2,B2-227
int-2,C1-641
int-2,B2-262
int-2,A1-1208
int-2,B2-239
int-2,A1-1128
int-2,A1-1046
int-2,C1-625
int-2,A1-1116
int-2,A2-526
int-2,B1-950
int-2,C2-1376
int-2,B2-148
int-2,C1-769
int-2,A2-313
int-2,B1-976
int-2,C2-1293
int-2,B2-282
int-2,A2-517
int-2,A1-1291
int-2,B2-9
int-2,A2-390
int-2,A1-1119
int-2,A1-1053
int-2,A1-1235
int-2,A1-1166
int-2,B2-20
int-2,A1-1108
int-2,C1-726
int-2,B2-261
int-2,C1-585
int-2,B1-985
int-2,A2-483
int-2,B2-168
int-2,A2-363
int-2,B1-920
int-2,A2-407
int-2,A2-396
int-2,A2-359
int-2,A2-383
int-2,A2-446
int-2,B2-249
int-2,B2-12
int-2,C1-574
int-2,B2-58
int-2,A1-1197
int-2,B1-839
int-2,A1-1255
int-2,C2-1426
int-2,B2-44
int-2,B1-819
int-2,A1-1248
int-2,C2-1346
int-2,A1-1234
int-2,C2-1318
int-2,B1-922
int-2,C2-1493
int-2,A1-1137
int-2,A1-1149
int-2,A2-445
int-2,A2-416
int-2,A2-307
int-2,A1-1277
int-2,B1-848
int-2,A1-1147
int-2,A1-1098
int-2,A1-1020
int-2,B1-977
int-2,A2-440
int-2,B2-176
int-2,C1-661
int-2,B2-75
int-2,A1-1029
int-2,B1-846
int-2,B2-172
int-2,A1-1185
int-2,C2-1488
int-2,C1-723
int-2,A2-534
int-2,B2-221
int-2,C1-630
int-2,B2-135
int-2,B2-118
int-2,C1-647
int-2,C1-735
int-2,C1-597
int-2,B2-276
int-3,A2-369
int-3,A1-1090
int-3,B1-960
int-3,A1-1146
int-3,B2-131
int-3,C2-1469
int-3,C2-1447
int-3,B2-260
int-3,A2-336
int-3,B2-274
int-3,A2-514
int-3,C2-1448
int-3,C1-596
int-3,B1-957
int-3,C2-1334
int-3,C1-758
int-3,B1-920
int-3,B1-811
int-3,A2-287
int-3,A1-1147
int-3,C1-757
int-3,A2-320
int-3,A2-296
int-3,B2-179
int-3,B2-8
int-3,A1-1154
int-3,B1-943
int-3,A1-1216
int-3,A2-450
int-3,A1-1178
int-3,C2-1348
int-3,C1-663
int-3,A1-1062
int-3,B1-894
int-3,C2-1360
int-3,B2-282
int-3,B2-240
int-3,C1-582
int-3,C1-754
int-3,A2-307
int-3,A2-335
int-3,A2-507
int-3,A2-301
int-3,C2-1420
int-3,A1-1289
int-3,A1-1215
int-3,A2-391
int-3,B2-78
int-3,A1-1184
int-3,B1-829
int-3,C1-749
int-3,B1-826
int-3,C1-694
int-3,A1-1069
int-3,C2-1427
int-3,B2-234
int-3,A1-1139
int-3,C2-1333
int-3,C2-1470
int-3,B1-932
int-3,A2-483
int-3,C1-796
int-3,B2-33
int-3,A2-474
int-3,B2-1
int-3,A2-454
int-3,A2-415
int-3,A2-330
int-3,C2-1476
int-3,A2-463
int-3,A1-1226
int-3,A2-477
int-3,B2-217
int-3,A2-535
int-3,B2-41
int-3,C1-719
int-3,B1-865
int-3,B1-954
int-3,A2-407
int-3,A2-387
int-3,B2-148
int-3,A1-1156
int-3,A2-441
int-3,A1-1272
int-3,B2-146
int-3,C1-585
int-3,A1-1113
int-3,A1-1166
int-3,A2-404
int-3,A1-1115
int-3,A2-332
int-3,B1-855
int-3,C2-1325
int-3,B1-820
int-3,B2-6
int-3,C2-1422
int-3,A2-416
int-3,B2-144
int-3,C1-648
int-3,C2-1412
int-4,B2-265
int-4,C1-647
int-4,B2-89
int-4,B1-920
int-4,C1-729
int-4,B2-115
int-4,C2-1371
int-4,B1-923
int-4,A2-345
int-4,A2-550
int-4,C1-681
int-4,C1-756
int-4,B1-963
int-4,B2-183
int-4,B2-70
int-4,B2-190
int-4,B2-7
int-4,B1-834
int-4,B2-108
int-4,C2-1443
int-4,B2-78
int-4,B2-80
int-4,C1-698
int-4,C1-620
int-4,B1-990
int-4,C1-701
int-4,C2-1357
int-4,C2-1378
int-4,A2-483
int-4,B2-139
int-4,C2-1448
int-4,A2-318
int-4,B2-188
int-4,B2-22
int-4,C1-699
int-4,B2-26
int-4,B2-266
int-4,C1-672
int-4,A2-368
int-4,C1-768
int-4,B1-864
int-4,C2-1441
int-4,B2-220
int-4,B2-273
int-4,A2-535
int-4,C1-714
int-4,B2-93
int-4,B2-50
int-4,C1-704
int-4,B1-976
int-4,C1-611
int-4,A2-500
int-4,A2-497
int-4,C1-767
int-4,C2-1454
int-4,B2-166
int-4,B2-27
int-4,C2-1479
int-4,C1-694
int-4,C1-688
int-4,B2-28
int-4,B2-150
int-4,B1-813
int-4,B1-809
int-4,C1-579
int-4,B2-98
int-4,C1-655
int-4,B1-865
int-4,B2-128
int-4,C2-1361
int-4,C2-1316
int-4,A1-1224
int-4,C1-790
int-4,C1-561
int-4,C1-718
int-4,C2-1418
int-4,C1-776
int-4,C2-1328
int-4,C2-1327
int-4,C2-1409
int-4,C2-1480
int-4,C2-1417
int-4,B1-986
int-4,A2-554
int-4,C2-1493
int-4,C1-640
int-4,C1-693
int-4,C1-567
int-4,B2-285
int-4,C1-661
int-4,B1-833
int-4,C1-628
int-4,C2-1373
int-4,B1-1001
int-4,C2-1410
int-4,C1-757
int-4,C2-1376
int-4,C2-1463
int-4,A2-440
int-4,C1-793
int-5,B1-871
int-5,C2-1386
int-5,B1-913
int-5,A1-1135
int-5,B2-221
int-5,B1-961
int-5,C1-588
int-5,B2-260
int-5,A1-1011
int-5,A1-1125
int-5,A2-554
int-5,C2-1324
int-5,C1-782
int-5,B1-904
int-5,C2-1467
int-5,B1-824
int-5,A2-507
int-5,B2-146
int-5,B2-280
int-5,A2-461
int-5,B1-861
int-5,B2-246
int-5,B2-162
int-5,C1-682
int-5,B2-135
int-5,C2-1296
int-5,B2-93
int-5,C1-664
int-5,B2-39
int-5,A2-433
int-5,A2-413
int-5,A2-385
int-5,B1-806
int-5,B1-880
int-5,A2-301
int-5,B2-60
int-5,B2-169
int-5,A2-360
int-5,B1-859
int-5,A2-450
int-5,A1-1042
int-5,A1-1191
int-5,C1-724
int-5,A1-1239
int-5,B2-2
int-5,B2-235
int-5,B2-251
int-5,B2-254
int-5,A2-524
int-5,C2-1344
int-5,B1-867
int-5,B2-213
int-5,B1-970
int-5,A1-1145
int-5,C1-750
int-5,C1-773
int-5,B2-7
int-5,C2-1298
int-5,B2-225
int-5,C1-694
int-5,B1-817
int-5,B2-46
int-5,A2-418
int-5,A1-1195
int-5,B2-273
int-5,C2-1318
int-5,A2-321
int-5,C2-1352
int-5,A2-310
int-5,B1-844
int-5,A2-494
int-5,B1-855
int-5,B1-835
int-5,C1-620
int-5,B1-852
int-5,A1-1054
int-5,A2-419
int-5,C1-582
int-5,C1-733
int-5,B2-33
int-5,B1-821
int-5,C2-1491
int-5,B1-865
int-5,A1-1266
int-5,A1-1156
int-5,B2-154
int-5,A2-517
int-5,A2-467
int-5,A1-1254
int-5,B2-168
int-5,A1-1232
int-5,A2-535
int-5,C1-779
int-5,A2-533
int-5,A2-329
int-5,A1-1282
int-5,A2-355
int-5,B2-233
int-5,A2-493
int-5,A2-390
int-6,A1-1097
int-6,B2-162
int-6,A2-334
int-6,C1-605
int-6,A2-443
int-6,C2-1466
int-6,A2-290
int-6,B1-882
int-6,A2-303
int-6,A2-388
int-6,B2-23
int-6,C1-704
int-6,B2-167
int-6,A2-320
int-6,B2-134
int-6,B1-865
int-6,A2-358
int-6,B1-954
int-6,B2-251
int-6,A1-1092
int-6,A1-1150
int-6,B1-881
int-6,B2-13
int-6,B2-188
int-6,A2-369
int-6,B1-930
int-6,A1-1016
int-6,A1-1186
int-6,A2-470
int-6,A1-1201
int-6,A2-438
int-6,A2-371
int-6,B2-21
int-6,C1-606
int-6,B2-76
int-6,B1-842
int-6,B2-52
int-6,A2-548
int-6,A2-364
int-6,A2-547
int-6,A2-414
int-6,C1-691
int-6,A2-312
int-6,B2-125
int-6,B1-997
int-6,B2-226
int-6,B1-924
int-6,B2-31
int-6,B1-857
int-6,C1-580
int-6,B2-32
int-6,A2-475
int-6,B2-78
int-6,A1-1028
int-6,A2-331
int-6,A1-1175
int-6,A1-1102
int-6,C1-588
int-6,A1-1014
int-6,A1-1263
int-6,A1-1026
int-6,B1-895
int-6,A2-375
int-6,A2-404
int-6,B2-83
int-6,A1-1040
int-6,B2-1
int-6,C1-728
int-6,B2-79
int-6,B2-146
int-6,C1-644
int-6,B2-259
int-6,B2-238
int-6,B2-35
int-6,B2-175
int-6,B2-104
int-6,A2-360
int-6,B1-801
int-6,B1-802
int-6,A2-297
int-6,C2-1331
int-6,B1-914
int-6,C1-768
int-6,B1-973
int-6,B1-923
int-6,B1-859
int-6,B1-931
int-6,B1-827
int-6,A2-366
int-6,B1-845
int-6,A2-500
int-6,A2-424
int-6,B1-820
int-6,B2-228
int-6,A2-359
int-6,A2-332
int-6,A2-461
int-6,B2-106
int-6,A2-433
int-6,A2-390
int-7,B2-18
int-7,C1-749
int-7,B2-64
int-7,B2-118
int-7,B2-282
int-7,B2-239
int-7,C1-630
int-7,B1-833
int-7,A2-307
int-7,A2-431
int-7,B2-212
int-7,B2-236
int-7,C2-1300
int-7,B1-816
int-7,B1-989
int-7,A2-361
int-7,B1-991
int-7,B2-1
int-7,B1-863
int-7,C1-633
int-7,B1-954
int-7,C1-795
int-7,B2-278
int-7,C2-1309
int-7,C2-1373
int-7,C1-605
int-7,B2-221
int-7,C1-575
int-7,C2-1460
int-7,B1-885
int-7,B1-882
int-7,C1-592
int-7,C2-1422
int-7,B2-75
int-7,C1-710
int-7,C1-716
int-7,C1-767
int-7,C1-645
int-7,B1-950
int-7,C1-751
int-7,C1-580
int-7,C1-678
int-7,B1-822
int-7,C1-648
int-7,C2-1457
int-7,C1-599
int-7,B1-811
int-7,C2-1439
int-7,A1-1063
int-7,B1-865
int-7,A1-1219
int-7,B2-213
int-7,A1-1062
int-7,A1-1250
int-7,A2-336
int-7,A2-437
int-7,C2-1454
int-7,A1-1189
int-7,A2-341
int-7,B2-257
int-7,B2-271
int-7,A2-536
int-7,C2-1369
int-7,C2-1295
int-7,B1-840
int-7,A1-1057
int-7,C2-1303
int-7,A2-439
int-7,B2-63
int-7,B1-916
int-7,A1-1223
int-7,A1-1075
int-7,A1-1143
int-7,B1-855
int-7,C2-1431
int-7,B2-130
int-7,A2-503
int-7,A1-1108
int-7,C2-1324
int-7,C1-646
int-7,B2-163
int-7,C2-1354
int-7,B2-203
int-7,C1-664
int-7,B1-880
int-7,B1-860
int-7,C1-748
int-7,A2-417
int-7,C1-655
int-7,C2-1334
int-7,C2-1476
int-7,B2-176
int-7,A1-1153
int-7,A1-1161
int-7,B2-180
int-7,A1-1232
int-7,B2-204
int-7,A1-1032
int-7,B1-968
int-7,A1-1225
int-8,A2-306
int-8,A2-405
int-8,C1-723
int-8,A2-548
int-8,C2-1353
int-8,A2-374
int-8,A2-339
int-8,B1-877
int-8,B1-946
int-8,C2-1487
int-8,A2-376
int-8,A2-353
int-8,A1-1096
int-8,C2-1371
int-8,A2-511
int-8,C1-799
int-8,A2-516
int-8,A1-1045
int-8,A1-1208
int-8,A1-1277
int-8,C2-1437
int-8,A2-337
int-8,A1-1058
int-8,B1-916
int-8,C1-577
int-8,A1-1040
int-8,A1-1026
int-8,B2-158
int-8,A1-1071
int-8,A2-308
int-8,C1-710
int-8,B2-191
int-8,B2-90
int-8,C1-750
int-8,B2-128
int-8,B1-986
int-8,B2-177
int-8,B1-926
int-8,C2-1447
int-8,B1-816
int-8,A2-402
int-8,B1-897
int-8,B1-940
int-8,B1-945
int-8,A2-360
int-8,A1-1180
int-8,C1-789
int-8,B2-130
int-8,C2-1412
int-8,C1-569
int-8,B1-822
int-8,A1-1158
int-8,B2-251
int-8,C1-611
int-8,A2-522
int-8,B1-834
int-8,C1-576
int-8,A2-423
int-8,B1-918
int-8,A2-350
int-8,A2-357
int-8,B2-95
int-8,C2-1432
int-8,C2-1310
int-8,B1-904
int-8,C1-730
int-8,B1-999
int-8,B1-800
int-8,A2-383
int-8,A2-364
int-8,B2-63
int-8,A2-499
int-8,B2-18
int-8,C1-665
int-8,B2-282
int-8,A1-1100
int-8,A2-456
int-8,B2-266
int-8,A2-411
int-8,C2-1428
int-8,A2-428
int-8,A1-1200
int-8,B2-202
int-8,C1-748
int-8,C1-698
int-8,C1-682
int-8,C2-1436
int-8,C1-694
int-8,B1-970
int-8,B2-132
int-8,B1-905
int-8,B2-169
int-8,B2-116
int-8,B2-17
int-8,C1-586
int-8,B2-249
int-8,C2-1380
int-8,B2-254
int-8,A2-532
int-8,C1-697
int-9,C2-1412
int-9,C2-1411
int-9,C2-1348
int-9,C1-770
int-9,C2-1472
int-9,B1-834
int-9,B2-196
int-9,B2-178
int-9,C2-1415
int-9,C2-1487
int-9,B2-240
int-9,C2-1316
int-9,A2-502
int-9,C2-1371
int-9,C1-792
int-9,B1-974
int-9,A1-1279
int-9,A2-397
int-9,C1-604
int-9,B1-923
int-9,C1-583
int-9,B1-896
int-9,C1-710
int-9,C1-755
int-9,B1-833
int-9,B2-139
int-9,C2-1475
int-9,B2-278
int-9,B1-908
int-9,C2-1386
int-9,B1-968
int-9,C2-1406
int-9,C1-649
int-9,B2-155
int-9,B2-72
int-9,C2-1449
int-9,B1-948
int-9,B2-42
int-9,B1-803
int-9,C1-575
int-9,B1-950
int-9,A2-345
int-9,B2-16
int-9,C2-1346
int-9,C1-693
int-9,C2-1319
int-9,C2-1362
int-9,C1-700
int-9,B2-94
int-9,C1-772
int-9,C2-1351
int-9,C2-1443
int-9,C2-1315
int-9,C1-579
int-9,C2-1296
int-9,C1-735
int-9,C1-743
int-9,B2-195
int-9,C2-1401
int-9,C1-691
int-9,B1-840
int-9,B2-88
int-9,C2-1491
int-9,B2-78
int-9,C1-616
int-9,C1-673
int-9,C1-648
int-9,C1-779
int-9,C1-632
int-9,C1-795
int-9,B2-167
int-9,C2-1310
int-9,C2-1490
int-9,B2-106
int-9,C1-614
int-9,B2-233
int-9,C2-1430
int-9,B2-241
int-9,B2-221
int-9,C2-1303
int-9,C1-775
int-9,C2-1335
int-9,C2-1347
int-9,C1-596
int-9,C1-776
int-9,C2-1376
int-9,B1-932
int-9,C2-1445
int-9,B2-117
int-9,C1-623
int-9,C2-1368
int-9,C1-645
int-9,B1-1001
int-9,C2-1382
int-9,C2-1314
int-9,C1-628
int-9,C2-1364
int-9,C1-706
int-9,C1-722
int-9,B2-123
int-10,C2-1455
int-10,B1-905
int-10,B2-142
int-10,A2-333
int-10,A2-446
int-10,B1-990
int-10,C2-1376
int-10,B2-229
int-10,C2-1302
int-10,C1-652
int-10,C1-659
int-10,A1-1053
int-10,B2-268
int-10,C1-660
int-10,A2-552
int-10,A1-1111
int-10,A1-1093
int-10,C1-574
int-10,C1-650
int-10,A1-1208
int-10,B1-942
int-10,A1-1167
int-10,A1-1035
int-10,B1-893
int-10,B2-73
int-10,B1-801
int-10,B2-262
int-10,B2-181
int-10,B1-955
int-10,B1-845
int-10,B2-227
int-10,A2-527
int-10,B1-867
int-10,B2-188
int-10,A2-363
int-10,B2-253
int-10,A2-378
int-10,B2-170
int-10,B2-67
int-10,C1-696
int-10,B2-60
int-10,C1-616
int-10,A2-535
int-10,A1-1258
int-10,A1-1151
int-10,C2-1379
int-10,A2-293
int-10,A1-1154
int-10,A1-1157
int-10,A1-1162
int-10,A1-1205
int-10,A2-319
int-10,B2-150
int-10,A1-1141
int-10,A1-1068
int-10,A1-1207
int-10,A2-362
int-10,A2-534
int-10,C1-589
int-10,A2-496
int-10,C1-778
int-10,B1-954
int-10,B2-258
int-10,C1-643
int-10,B2-82
int-10,C1-727
int-10,C1-726
int-10,B2-138
int-10,A2-313
int-10,C2-1325
int-10,B2-180
int-10,B1-882
int-10,C1-672
int-10,C2-1330
int-10,A2-444
int-10,A2-518
int-10,C1-710
int-10,B1-1004
int-10,B1-944
int-10,C1-738
int-10,A2-361
int-10,A2-411
int-10,B1-909
int-10,A2-374
int-10,A2-379
int-10,A2-504
int-10,B1-928
int-10,B1-835
int-10,B1-883
int-10,A2-490
int-10,B2-49
int-10,C2-1305
int-10,C2-1466
int-10,B1-844
int-10,C1-746
int-10,B2-117
int-10,C1-603
int-10,C2-1471
int-10,C2-1334
int-10,C2-1474
int-11,C2-1476
int-11,C1-652
int-11,B2-33
int-11,B2-31
int-11,B2-18
int-11,A2-515
int-11,A1-1209
int-11,A1-1274
int-11,C1-644
int-11,A1-1062
int-11,A2-491
int-11,C1-754
int-11,B1-821
int-11,A1-1055
int-11,B1-816
int-11,C1-604
int-11,A1-1099
int-11,C1-746
int-11,B1-996
int-11,B1-940
int-11,A1-1128
int-11,B2-153
int-11,A2-483
int-11,B2-27
int-11,A2-535
int-11,B1-863
int-11,C2-1430
int-11,B2-163
